tempID	AnalyteName	CAS No.	Volatility	ABS Category	AbsID
214	"Dichlorobenzene, 1,4-"	106-46-7	V	Undefined	1
215	"Dichlorobenzidine, 3,3'-"	91-94-1	NV	Other Organic Chemicals	8
216	"Dichlorobenzophenone, 4,4'-"	90-98-2	NV	Other Organic Chemicals	8
217	Dichlorodifluoromethane	75-71-8	V	Undefined	1
218	"Dichloroethane, 1,1-"	75-34-3	V	Undefined	1
219	"Dichloroethane, 1,2-"	107-06-2	V	Undefined	1
220	"Dichloroethylene, 1,1-"	75-35-4	V	Undefined	1
221	"Dichloroethylene, 1,2-cis-"	156-59-2	V	Undefined	1
222	"Dichloroethylene, 1,2-trans-"	156-60-5	V	Undefined	1
223	"Dichlorophenol, 2,4-"	120-83-2	NV	Other Organic Chemicals	8
224	"Dichlorophenoxy Acetic Acid, 2,4-"	94-75-7	NV	Other Organic Chemicals	8
225	"Dichloropropane, 1,2-"	78-87-5	V	Undefined	1
226	"Dichloropropane, 1,3-"	142-28-9	V	Undefined	1
